x,y,z,u,v,w,time,DAQ_DAQCrossheadmm,DAQ_DAQForcekN
-31.6579,146.921,-15.7874,-0.449544,-1.84265,-2.55014,6654.22,-3.56323,-286.308
-26.6641,27.2613,-47.6344,-1.91731,-1.28275,-3.86171,6654.22,-3.56323,-286.308
-28.5928,85.377,-32.5179,-1.098,-1.45486,-3.38582,6654.22,-3.56323,-286.308
-32.325,193.404,-4.0301,-0.223205,-2.13964,-1.95974,6654.22,-3.56323,-286.308
-26.8642,2.10103,-52.9036,-2.12364,-1.30606,-3.85281,6654.22,-3.56323,-286.308
-27.2547,52.4498,-40.8798,-1.56564,-1.32662,-3.72607,6654.22,-3.56323,-286.308
-29.818,112.482,-24.6627,-0.728972,-1.618,-3.03638,6654.22,-3.56323,-286.308
-32.522,170.453,-9.02204,-0.29527,-2.00443,-2.2367,6654.22,-3.56323,-286.308
-28.3005,80.047,-33.2165,-1.14973,-1.436,-3.44967,6654.22,-3.56323,-286.308
-26.8352,-0.611419,-52.9999,-2.11709,-1.30876,-3.84536,6654.22,-3.56323,-286.308
-32.4356,167.92,-9.25546,-0.307653,-1.99127,-2.2675,6654.22,-3.56323,-286.308
-31.173,139.163,-16.8341,-0.477978,-1.80451,-2.6606,6654.22,-3.56323,-286.308
-28.1494,77.3772,-33.5751,-1.173,-1.42546,-3.48484,6654.22,-3.56323,-286.308
-29.4988,107.223,-25.3867,-0.76773,-1.5932,-3.10936,6654.22,-3.56323,-286.308
-31.028,136.578,-17.154,-0.484573,-1.79201,-2.69829,6654.22,-3.56323,-286.308
-26.6353,19.2152,-47.9248,-1.93987,-1.28521,-3.87294,6654.22,-3.56323,-286.308
-28.0296,74.7143,-33.8821,-1.19758,-1.41726,-3.51386,6654.22,-3.56323,-286.308
-29.3695,104.598,-25.7002,-0.787646,-1.58281,-3.14238,6654.22,-3.56323,-286.308
-30.8918,133.99,-17.4719,-0.495432,-1.78181,-2.73728,6654.22,-3.56323,-286.308
-26.779,-6.04107,-53.1806,-2.0978,-1.31506,-3.82998,6654.22,-3.56323,-286.308
-26.7122,41.6107,-42.1569,-1.64975,-1.3092,-3.80391,6654.22,-3.56323,-286.308
-26.6258,16.5301,-48.0147,-1.94321,-1.28631,-3.87635,6654.22,-3.56323,-286.308
-31.4411,201.105,-0.695729,-0.22513,-2.21145,-1.85469,6654.22,-3.56323,-286.308
-32.2974,160.344,-9.75609,-0.326483,-1.96237,-2.36564,6654.22,-3.56323,-286.308
-26.7692,-8.74774,-53.2333,-2.08439,-1.31743,-3.81904,6654.22,-3.56323,-286.308
-29.1037,99.3411,-26.3483,-0.828799,-1.55777,-3.21149,6654.22,-3.56323,-286.308
-26.6133,13.8414,-48.1074,-1.94527,-1.28739,-3.87808,6654.22,-3.56323,-286.308
-31.4349,198.629,-0.780196,-0.217571,-2.20009,-1.89479,6654.22,-3.56323,-286.308
-27.7161,66.7285,-34.7255,-1.26966,-1.39175,-3.59249,6654.22,-3.56323,-286.308
-26.4766,36.1911,-42.7242,-1.68391,-1.3021,-3.84069,6654.22,-3.56323,-286.308
-26.7887,-11.4419,-53.2353,-2.06907,-1.32049,-3.80477,6654.22,-3.56323,-286.308
-26.6083,11.1556,-48.1812,-1.94533,-1.28792,-3.87701,6654.22,-3.56323,-286.308
-27.5597,64.0389,-35.0844,-1.29386,-1.38394,-3.6212,6654.22,-3.56323,-286.308
-28.8347,94.068,-26.9976,-0.86973,-1.53623,-3.27818,6654.22,-3.56323,-286.308
-30.2548,123.59,-18.8659,-0.541967,-1.72819,-2.88653,6654.22,-3.56323,-286.308
-32.082,175.888,-5.02512,-0.242396,-2.07292,-2.17939,6654.22,-3.56323,-286.308
-27.414,61.3491,-35.4218,-1.31639,-1.37818,-3.64621,6654.22,-3.56323,-286.308
-31.347,193.644,-1.07431,-0.219942,-2.18029,-1.9568,6654.22,-3.56323,-286.308
-30.0954,120.984,-19.2124,-0.554102,-1.71358,-2.92169,6654.22,-3.56323,-286.308
-31.7454,150.098,-10.974,-0.34994,-1.91926,-2.50588,6654.22,-3.56323,-286.308
-28.5442,88.7755,-27.6848,-0.914494,-1.51305,-3.3465,6654.22,-3.56323,-286.308
-29.966,118.382,-19.5233,-0.569857,-1.70172,-2.9561,6654.22,-3.56323,-286.308
-26.6104,5.78322,-48.2952,-1.93938,-1.2919,-3.87097,6654.22,-3.56323,-286.308
-31.5436,147.511,-11.3831,-0.358621,-1.90611,-2.54613,6654.22,-3.56323,-286.308
-28.3986,86.1234,-28.0284,-0.93561,-1.50271,-3.37917,6654.22,-3.56323,-286.308
-32.0232,170.87,-5.28887,-0.250848,-2.0554,-2.24001,6654.22,-3.56323,-286.308
